Song_ID,Parent_Raga,Song_Name,Movie_Name,Melakarta_No,Arohanam,Avarohanam,Raga_Confidence
615,(Mecha) Bowli,Senthaalam Poovil,Mullum Malarum,,,,Medium
4,Aarabhi,Sandhakavigal Paadidum Manathinil,Metti,,,,Medium
1,Aarabhi,Aasai Kiliye,Thambikku Entha Ooru,,,,Medium
2,Aarabhi,Madhurai Vaazhum,Pudhupatti Ponnuthayee,,,,Medium
3,Aarabhi,Mannavane Mannavane,Thandhuvitten Ennai,,,,Medium
21,Abheri,Velli Kolusu Mani,Pongi Varum Kaaveri,,S G2 M1 P N2 S,S N2 D2 P M1 G2 S,Medium
19,Abheri,Un Manasula Paatu Thaan,Paandi Naatu Thangam,,S G2 M1 P N2 S,S N2 D2 P M1 G2 S,Medium
17,Abheri,Poove Poochoodava,Poove Poochoodava,,S G2 M1 P N2 S,S N2 D2 P M1 G2 S,Medium
16,Abheri,Poonguyil Rendum Onnoda Onna,Veetula Visheshanga,,S G2 M1 P N2 S,S N2 D2 P M1 G2 S,Medium
15,Abheri,Poongaaviyam Pesum Oviyam,Karpoora Mullai,,S G2 M1 P N2 S,S N2 D2 P M1 G2 S,Medium
14,Abheri,Padhmanabha,Manjeera Dhwani (Thillana) (Malayalam),,S G2 M1 P N2 S,S N2 D2 P M1 G2 S,Medium
13,Abheri,Muthamizhae Muthamizhae,Raman Abdulla,,S G2 M1 P N2 S,S N2 D2 P M1 G2 S,Medium
20,Abheri,Varna Vrindaavanum,Kaliyoonjal (Malayalam),,S G2 M1 P N2 S,S N2 D2 P M1 G2 S,Medium
11,Abheri,Kuyile Kavikuyile,Kavikuyil,,S G2 M1 P N2 S,S N2 D2 P M1 G2 S,Medium
12,Abheri,Megam Karukkudhu,Anandha Ragam,,S G2 M1 P N2 S,S N2 D2 P M1 G2 S,Medium
5,Abheri,Chinnanjiru Vayathil,Meendum Kokila (Uses Ni3),,S G2 M1 P N2 S,S N2 D2 P M1 G2 S,Medium
6,Abheri,En Paatu En Paatu,Poomani,,S G2 M1 P N2 S,S N2 D2 P M1 G2 S,Medium
7,Abheri,Ennai Thottu Alli Konda,Unna Ninaichen Paatu Padichen,,S G2 M1 P N2 S,S N2 D2 P M1 G2 S,Medium
18,Abheri,Sindhu Nadhi Karai Oram,Nalladhoru Kudumbam,,S G2 M1 P N2 S,S N2 D2 P M1 G2 S,Medium
8,Abheri,Guruvaayoorappa,Pudhu Pudhu Arthangal (Magical Prelude & Interludes),,S G2 M1 P N2 S,S N2 D2 P M1 G2 S,Medium
9,Abheri,Kaalidasan Kannadasan,Soorakottai Singakkutti,,S G2 M1 P N2 S,S N2 D2 P M1 G2 S,Medium
10,Abheri,Kaiyetha,Vinodhayathra (Malayalam),,S G2 M1 P N2 S,S N2 D2 P M1 G2 S,Medium
22,Abhoghi,Indraikku Yenindha Aanandhame,Vaidhehi Kaathirundhaal,,,,Medium
23,Abhoghi,Kalai Nera Poonguyil,Amman Kovil Kizhakaale,,,,Medium
24,Ahirbhairavi,Ezhumalaiyan Magimai,Ezhumalaiyan Magimai,,,,Medium
30,Amruthavarshini,Vanin Devi Varuga,Oruvar Vaazhum Aalayam,,,,Medium
29,Amruthavarshini,Thoongatha Vizhigal,Agni Nakshatiram,,,,Medium
28,Amruthavarshini,Mazhaikoru Dhevane,Sri Ragavendra,,,,Medium
