Raga,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
Kanakāngi ,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0
Kanakāmbari,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Kanakatodi,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
Mādhavapriyā,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
Karnātaka Shuddha Sāveri,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Latantapriya,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
Lavangi,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Megha,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0
Rishabhavilāsa,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Sarvashree,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Suddha Mukhāri,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Tatillatika,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Vāgeeshwari,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0
Ratnāngi,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0
Phenadhyuti,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0
Ganamukhāri,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Ratnavarāli,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0
Revati,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Shreemani,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Shreemati,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Svadhya,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Gānamūrti,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1
Gānasāmavarāli,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1
Bhinnapanchamam,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1
Nādharanjani,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Poorvavarāli,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Sāmavarāli,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1
Vanaspati,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0
Bhānumati,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Rasāli,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
Vanāvali,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
Vittalapriya,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Mānavati,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1
Manoranjani,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
Ghanashyāmalā,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
Kunjari,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Tānarūpi,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1
Tanukeerti,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Senāvati,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0
Senāgrani,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0
Bhogi,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
Chitthakarshani,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Navarasa Mālā,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0
Sindhu Gowri,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0
Hanumatodi,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Janatodi,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Āhiri,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0
Amrita Dhanyāsi,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
Asāveri,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Bhānuchandrika,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Bhadratodi,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Bhoopālam,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Chandrikatodi,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
Deshikatodi,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Dhanyāsi,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
Divyamālati,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Ghanta,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
Kalāsāveri,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Kanakasāveri,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Nāgavarāli,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Prabhupriya,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
Punnāgatodi,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
Punnagavarali,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Shravanamallika,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Sowjanya,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Shuddha Seemantini,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0
Shuddha Todi,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
Sindhubhairavi,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
Srimati,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0
Swarnamalli,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
